Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Organism
quasitools_illumina_pe	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	PE	HIV
quasitools_illumina_pe	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/quasitools:0.7.0--pyh864c0ab_1	Optional	PE	HIV
quasitools_illumina_pe	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	PE	HIV
quasitools_ont	cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT	HIV
quasitools_ont	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	ONT	HIV
quasitools_ont	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/biocontainers/quasitools:0.7.0--pyh864c0ab_1	Optional	ONT	HIV
quasitools_ont	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	ONT	HIV
quasitools_ont	read2	File	Internal component. Do not use.		Do not modify, Optional	ONT	HIV
raw_check_reads	cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
raw_check_reads	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
raw_check_reads	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/bactopia/gather_samples:2.0.2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
raw_check_reads	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	artic_guppyplex_cpu	Int	Number of CPUs to allocate to the task	8	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	artic_guppyplex_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	artic_guppyplex_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/artic-ncov2019:1.3.0-medaka-1.4.3	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	artic_guppyplex_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	bbduk_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	call_kraken	Boolean	True/False variable that determines if the Kraken2 task should be called.	FALSE	Optional	PE, SE, ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	call_midas	Boolean	True/False variable that determines if the MIDAS task should be called.	TRUE	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	downsampling_coverage	Float	The desired coverage to sub-sample the reads to with RASUSA	150	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	fastp_args	String	Additional fastp task arguments	--detect_adapter_for_pe -g -5 20 -3 20	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	kraken_cpu	Int	Number of CPUs to allocate to the task	4	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	kraken_db	File	The database used to run Kraken2. Must contain viral and human sequences.	"gs://theiagen-large-public-files-rp/terra/databases/kraken2/kraken2_humanGRCh38_viralRefSeq_20240828.tar.gz"	Optional	ONT, PE, SE, ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	kraken_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	kraken_docker_image	Int	The Docker container to use for the task	"us-docker.pkg.dev/general-theiagen/staphb/kraken2:2.1.2-no-db"	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	kraken_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	midas_db	File	The database used by the MIDAS task	gs://theiagen-public-files-rp/terra/theiaprok-files/midas/midas_db_v1.2.tar.gz	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_cpu	Int	Number of CPUs to allocate to the task	2	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_docker	String	The Docker container to use for the task	"us-docker.pkg.dev/general-theiagen/biocontainers/nanoq:0.9.0--hec16e2b_1"	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_max_read_length	Int	The maximum read length to keep after trimming	100000	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_max_read_qual	Int	The maximum read quality to keep after trimming	40	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_min_read_length	Int	The minimum read length to keep after trimming	500	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	nanoq_min_read_qual	Int	The minimum read quality to keep after trimming	10	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	ncbi_scrub_cpu	Int	Number of CPUs to allocate to the task	4	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	ncbi_scrub_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	ncbi_scrub_docker	String	The Docker container to use for the task	"us-docker.pkg.dev/general-theiagen/ncbi/sra-human-scrubber:2.2.1"	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	ncbi_scrub_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	rasusa_bases	String	Internal component, do not modify		Optional	ONT	
read_QC_trim	rasusa_cpu	Int	Internal component, do not modify	4	Optional	ONT	
read_QC_trim	rasusa_disk_size	Int	Internal component, do not modify	100	Optional	ONT	
read_QC_trim	rasusa_docker	String	Internal component, do not modify	"us-docker.pkg.dev/general-theiagen/staphb/rasusa:2.1.0"	Optional	ONT	
read_QC_trim	rasusa_fraction_of_reads	Float	Internal component, do not modify		Optional	ONT	
read_QC_trim	rasusa_memory	Int	Internal component, do not modify	8	Optional	ONT	
read_QC_trim	rasusa_number_of_reads	Int	Internal component, do not modify		Optional	ONT	
read_QC_trim	rasusa_seed	Int	Internal component, do not modify		Optional	ONT	
read_QC_trim	read_processing	String	The name of the tool to perform basic read processing; options: "trimmomatic" or "fastp"	trimmomatic	Optional	PE, SE	
read_QC_trim	read_qc	String	The tool used for quality control (QC) of reads. Options are fastq_scan and fastqc	fastq_scan	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	target_organism	String	Organism to search for in Kraken		Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
read_QC_trim	trimmomatic_args	String	Additional arguments to pass to trimmomatic	-phred33	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
set_flu_ha_nextclade_values	reference_gff_file	File	Reference GFF file for flu HA		Do not modify, Optional	ONT	flu
set_flu_na_nextclade_values	reference_gff_file	Int	Reference GFF file for flu NA		Do not modify, Optional	ONT	flu
set_flu_na_nextclade_values	vadr_mem	Int	Memory, in GB, allocated to this task	8	Do not modify, Optional	ONT	flu
stats_n_coverage	cpu	Int	Number of CPUs to allocate to the task	2	Optional	CL, ONT	
stats_n_coverage	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, ONT	
stats_n_coverage	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15	Optional	CL, ONT	
stats_n_coverage	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL, ONT	
stats_n_coverage_primtrim	cpu	Int	Number of CPUs to allocate to the task	2	Optional	CL, ONT	
stats_n_coverage_primtrim	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, ONT	
stats_n_coverage_primtrim	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/samtools:1.15	Optional	CL, ONT	
stats_n_coverage_primtrim	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CL, ONT	
vadr	cpu	Int	Number of CPUs to allocate to the task	4	Optional	CL, FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CL, FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/vadr:1.5.1	Optional	CL, FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	max_length	Int	Maximum length of contig allowed to run VADR		Optional	CL	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	32 (RSV-A and RSV-B) and 16 (all other TheiaCoV organisms)	Optional	CL	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	min_length	Int	Minimum length subsequence to possibly replace Ns for the `fasta-trim-terminal-ambigs.pl` VADR script	50	Optional	CL, FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	skip_length	Int	Minimum assembly length (unambiguous) to run VADR	10000	Optional	CL	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
vadr	vadr_opts	String	Additional options to provide to VADR		Optional	CL	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
version_capture	docker	String	The Docker container to use for the task	"us-docker.pkg.dev/general-theiagen/theiagen/alpine-plus-bash:3.20.0"	Optional	ONT, PE, SE, FASTA, CL	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
version_capture	timezone	String	Set the time zone to get an accurate date of analysis (uses UTC by default)		Optional	ONT, PE, SE, FASTA, CL	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	adapters	File	File that contains the adapters used	/bbmap/resources/adapters.fa	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	consensus_min_freq	Float	The minimum frequency for a variant to be called a SNP in consensus genome	0.6	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	flu_segment	String	Influenza genome segment being analyzed. Options: "HA" or "NA".	HA	Optional, Required	FASTA	
workflow name	flu_subtype	String	The influenza subtype being analyzed. Options: "Yamagata", "Victoria", "H1N1", "H3N2", "H5N1". Automatically determined.		Optional	FASTA	
workflow name	genome_length	Int	Use to specify the expected genome length		Optional	FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	max_genome_length	Int	Maximum genome length able to pass read screening	2673870	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	max_length	Int	Maximum length for a read based on the SARS-CoV-2 primer scheme	700	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	medaka_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/artic-ncov2019:1.3.0-medaka-1.4.3	Optional	CL	
workflow name	min_basepairs	Int	Minimum base pairs to pass read screening	34000	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_coverage	Int	Minimum coverage to pass read screening	10	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_depth	Int	Minimum depth of reads required to call variants and generate a consensus genome. This value is passed to the iVar software.	100	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_genome_length	Int	Minimum genome length to pass read screening	1700	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_length	Int	Minimum length of a read based on the SARS-CoV-2 primer scheme	400	Optional	ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_proportion	Int	Minimum read proportion to pass read screening	40	Optional	PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	min_reads	Int	Minimum reads to pass read screening	113	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	nextclade_dataset_name	String	Nextclade organism dataset names. However, if organism input is set correctly, this input will be automatically assigned the corresponding dataset name. See [organism defaults](./theiacov.md#org-specific) for more information	Defaults are organism-specific. Please find default values for all organisms (and for Flu - their respective genome segments) here: <https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl>	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	nextclade_dataset_tag	String	Nextclade dataset tag. Used for pulling up-to-date reference genomes and associated information specific to nextclade datasets (QC thresholds, organism-specific information like SARS-CoV-2 clade & lineage information, etc.) that is required for running the Nextclade tool.	Defaults are organism-specific. Please find default values for all organisms (and for Flu - their respective genome segments) here: <https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl>	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	normalise	Int	Used to normalize the amount of reads to the indicated level before variant calling	20000 for CL, 200 for ONT	Optional	CL, ONT	
workflow name	organism	String	The organism that is being analyzed. Options: "sars-cov-2", "MPXV", "WNV", "HIV", "flu", "rsv_a", "rsv_b". However, "flu" is not available for TheiaCoV_Illumina_SE	sars-cov-2	Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	pangolin_docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/pangolin:4.3.1-pdata-1.33	Do not modify, Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	phix	File	File that contains the phix used	/bbmap/resources/phix174_ill.ref.fa.gz	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	primer_bed	File	The bed file containing the primers used when sequencing was performed		Optional	ONT, PE, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
workflow name	qc_check_table	File	A TSV file with optional user input QC values to be compared against the default workflow value		Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	reference_gene_locations_bed	File	Use to provide locations of interest where average coverage will be calculated		Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	reference_genome	File	An optional reference genome used for consensus assembly and QC		Optional	CL, FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	reference_gff	File	The general feature format (gff) of the reference genome.		Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	seq_method	String	The sequencing methodology used to generate the input read data	ILLUMINA	Optional	CL, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	skip_mash	Boolean	A True/False option that determines if mash should be skipped in the screen task.	FALSE	Optional	ONT, SE	HIV, MPXV, WNV, rsv_a, rsv_b, sars-cov-2
workflow name	skip_screen	Boolean	A True/False option that determines if the screen task should be skipped.	FALSE	Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	target_organism	String	The organism whose abundance the user wants to check in their reads. This should be a proper taxonomic name recognized by the Kraken database.		Optional	CL, ONT, PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	trim_min_length	Int	The minimum length of each read after trimming	75	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	trim_primers	Boolean	A True/False option that determines if primers should be trimmed.	TRUE	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	trim_quality_min_score	Int	The minimum quality score to keep during trimming	30	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	trim_window_size	Int	Specifies window size for trimming (the number of bases to average the quality across)	4	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	vadr_max_length	Int	Maximum length of contig allowed to run VADR		Optional	FASTA, ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	vadr_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	32 (RSV-A and RSV-B) and 8 (all other TheiaCoV organisms)	Optional	FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	vadr_options	String	Additional options to provide to VADR		Optional	ONT, PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	vadr_opts	String	Additional options to provide to VADR		Optional	FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	vadr_skip_length	Int	Minimum assembly length (unambiguous) to run VADR	10000	Optional	FASTA, ONT, PE, SE	MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
workflow name	variant_min_freq	Float	Minimum frequency for a variant to be reported in ivar outputs	0.6	Optional	PE, SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2